"namespace","key","English (source — do not edit)","Ukrainian (edit this column)"
"ui","ui.discoverYourFate","Discover Your Fate","Дізнайтеся свою Долю"
"ui","ui.discover","Discover","Дізнайтеся"
"ui","ui.your","Your","свою"
"ui","ui.fate","Fate","Долю"
"ui","ui.shakeDeck","Shake the Deck","Перетасувати колоду"
"ui","ui.joinTheCircle","Join the Circle of the Chosen","Приєднайтеся до Кола обраних"
"ui","ui.loading","Loading...","Завантаження..."
"ui","ui.revealYourself","Reveal Yourself","Розкрийте себе"
"ui","ui.welcome","Welcome, {name}","Вітаємо, {name}"
"ui","ui.mysticOne","Mystic One","Містик"
"ui","ui.unveilDestiny","Unveil Your Destiny, Card by Card...","Розкрийте свою долю, карта за картою..."
"ui","ui.revokeAndRetry","Revoke and Retry","Скасувати та спробувати знову"
"ui","ui.unveilAnotherFate","Unveil Another Fate","Відкрити іншу долю"
"ui","ui.backToSanctum","Back to the Sanctum","Повернутися до Святилища"
"ui","ui.cardsHaveSpoken","The Cards Have Spoken","Карти промовили"
"ui","ui.cardsStillSilent","The cards are still silent...","Карти ще мовчать..."
"ui","ui.stepThroughTheVeil","Step Through the Veil","Переступіть Завісу"
"ui","ui.gateAnonTitle","The Veil Has Closed","Завіса Зімкнулася"
"ui","ui.gateAnonBody","One glimpse is all the spirits grant a wandering soul. To part the veil again, you must first be known to us.","Мандрівній душі духи дарують лише один погляд. Щоб знову відхилити завісу, вам потрібно відкритися нам."
"ui","ui.gateAnonCta","Step Through the Veil","Переступіть Завісу"
"ui","ui.gateFreeTitle","The Spirits Ask for Tribute","Духи Просять Пожертву"
"ui","ui.gateFreeBody","Tonight's fates are spent. Deeper visions are not given freely — offer tribute, and the cards will speak again.","Сьогоднішні долі вичерпано. Глибші видіння не даються задарма — принесіть пожертву, і карти заговорять знову."
"ui","ui.gateFreeCta","Offer Tribute","Принести Пожертву"
"ui","ui.yourMysticProfile","Your Mystic Profile","Ваш містичний профіль"
"ui","ui.chooseYourPath","Choose Your Path","Оберіть свій шлях"
"ui","ui.oneReadingAtATime","One reading at a time, or unlimited every day.","Одне ворожіння за раз або безліміт щодня."
"ui","ui.mostPopular","Most popular","Найпопулярніший"
"ui","ui.currentPlanBtn","Current plan","Поточний тариф"
"ui","ui.includedBtn","Included","Включено"
"ui","ui.comingSoon","Coming soon","Скоро"
"ui","ui.subscribeBtn","Subscribe","Оформити підписку"
"ui","ui.buyReadingBtn","Buy a reading","Купити розклад"
"ui","ui.processingBtn","Processing…","Обробка…"
