"namespace","key","English (source — do not edit)","Russian (edit this column)"
"ui","ui.discoverYourFate","Discover Your Fate","Узнайте свою Судьбу"
"ui","ui.discover","Discover","Узнайте"
"ui","ui.your","Your","свою"
"ui","ui.fate","Fate","Судьбу"
"ui","ui.shakeDeck","Shake the Deck","Перетасовать Колоду"
"ui","ui.joinTheCircle","Join the Circle of the Chosen","Вступите в Круг Избранных"
"ui","ui.loading","Loading...","Загрузка..."
"ui","ui.revealYourself","Reveal Yourself","Раскройте себя"
"ui","ui.welcome","Welcome, {name}","Добро пожаловать, {name}"
"ui","ui.mysticOne","Mystic One","Мистик"
"ui","ui.unveilDestiny","Unveil Your Destiny, Card by Card...","Раскройте свою Судьбу, карта за картой..."
"ui","ui.revokeAndRetry","Revoke and Retry","Отменить и попробовать снова"
"ui","ui.unveilAnotherFate","Unveil Another Fate","Раскрыть иную судьбу"
"ui","ui.backToSanctum","Back to the Sanctum","Вернуться в Святилище"
"ui","ui.cardsHaveSpoken","The Cards Have Spoken","Карты изрекли свою волю"
"ui","ui.cardsStillSilent","The cards are still silent...","Карты ещё молчат..."
"ui","ui.stepThroughTheVeil","Step Through the Veil","Шагните за Завесу"
"ui","ui.gateAnonTitle","The Veil Has Closed","Завеса Сомкнулась"
"ui","ui.gateAnonBody","One glimpse is all the spirits grant a wandering soul. To part the veil again, you must first be known to us.","Странствующей душе духи дарят лишь один взгляд. Чтобы вновь приоткрыть завесу, вам нужно открыться нам."
"ui","ui.gateAnonCta","Step Through the Veil","Шагните за Завесу"
"ui","ui.gateFreeTitle","The Spirits Ask for Tribute","Духи Просят Подношение"
"ui","ui.gateFreeBody","Tonight's fates are spent. Deeper visions are not given freely — offer tribute, and the cards will speak again.","Сегодняшние судьбы исчерпаны. Глубокие видения не даются даром — принесите подношение, и карты заговорят вновь."
"ui","ui.gateFreeCta","Offer Tribute","Принести Подношение"
"ui","ui.yourMysticProfile","Your Mystic Profile","Ваш Мистический Профиль"
"ui","ui.chooseYourPath","Choose Your Path","Выберите свой Путь"
"ui","ui.oneReadingAtATime","One reading at a time, or unlimited every day.","Одно гадание за раз или безлимит каждый день."
"ui","ui.mostPopular","Most popular","Самый популярный"
"ui","ui.currentPlanBtn","Current plan","Текущий тариф"
"ui","ui.includedBtn","Included","Включено"
"ui","ui.comingSoon","Coming soon","Скоро"
"ui","ui.subscribeBtn","Subscribe","Оформить подписку"
"ui","ui.buyReadingBtn","Buy a reading","Купить расклад"
"ui","ui.processingBtn","Processing…","Обработка…"
"ui","ui.paymentStartFailed","Something went wrong starting your payment. Please try again.","Не удалось начать оплату. Пожалуйста, попробуйте ещё раз."
"ui","ui.paymentsLaunchingSoon","Payments launching soon","Оплата скоро будет доступна"
"ui","ui.termsOfService","Terms of Service","Условия использования"
"ui","ui.privacyPolicy","Privacy Policy","Политика конфиденциальности"
"ui","ui.cookiePolicy","Cookie Policy","Политика использования cookie"
"ui","ui.refundPolicy","Refund Policy","Политика возврата средств"
"ui","ui.cookieSettings","Cookie settings","Настройки cookie"
"ui","ui.contact","Contact","Контакты"
"ui","ui.cookieBannerAriaLabel","Cookie consent","Согласие на использование cookie"
"ui","ui.cookieBannerMessage","We use cookies to keep you signed in and, with your consent, to understand how The Veil is used.","Мы используем cookie, чтобы вы оставались авторизованы, и — с вашего согласия — чтобы понимать, как используется Завеса."
"ui","ui.cookieBannerLearnMore","Learn more","Подробнее"
"ui","ui.cookieBannerAccept","Accept","Принять"
"ui","ui.cookieBannerReject","Reject","Отклонить"
"ui","ui.initiation","Initiation","Посвящение"
"ui","ui.name","Name","Имя"
"ui","ui.email","Email","Эл. почта"
"ui","ui.currentPlan","Current plan","Текущий тариф"
"ui","ui.credits","Reading Credits","Кредиты раскладов"
"ui","ui.password","Password","Пароль"
"ui","ui.save","Save","Сохранить"
"ui","ui.saving","Saving...","Сохранение..."
"ui","ui.cancel","Cancel","Отмена"
"ui","ui.changePassword","Change password","Сменить пароль"
"ui","ui.setPassword","Set password","Задать пароль"
"ui","ui.slipIntoShadows","Slip Into the Shadows","Раствориться в Тенях"
"ui","ui.currentPasswordPlaceholder","Current password","Текущий пароль"
"ui","ui.newPasswordPlaceholder","New password","Новый пароль"
"ui","ui.confirmPasswordPlaceholder","Confirm new password","Подтвердите новый пароль"
"ui","ui.nameCannotBeEmpty","Name cannot be empty","Имя не может быть пустым"
"ui","ui.failedToUpdateName","Failed to update name","Не удалось обновить имя"
"ui","ui.passwordMinLength","Password must be at least 8 characters","Пароль должен содержать не менее 8 символов"
"ui","ui.passwordsDoNotMatch","Passwords do not match","Пароли не совпадают"
"ui","ui.failedToUpdatePassword","Failed to update password","Не удалось обновить пароль"
"ui","ui.passwordUpdated","Password updated","Пароль обновлён"
"ui","ui.whatShallWeCallYou","What Shall We Call You?","Как нам к вам обращаться?"
"ui","ui.pledgeYourSoul","Pledge Your Soul (Or Just Your Email)","Вверьте свою Душу (или просто укажите Email)"
"ui","ui.enchantedPhrase","Enchanted Phrase","Заклинание-пароль"
"ui","ui.iAgreeTo","I agree to the","Я принимаю"
"ui","ui.and","and","и"
"ui","ui.agreeToTerms","I agree to the {terms} and {privacy}.","Я принимаю {terms} и {privacy}."
"ui","ui.acceptTermsError","Please accept the Terms of Service and Privacy Policy to continue.","Пожалуйста, примите Условия использования и Политику конфиденциальности, чтобы продолжить."
"ui","ui.invalidCredentials","Invalid email or password","Неверный email или пароль"
"ui","ui.somethingWentWrong","Something went wrong. Please try again.","Что-то пошло не так. Попробуйте снова."
"ui","ui.channeling","Channeling...","Связываюсь с духами..."
"ui","ui.beginTheRitual","Begin the Ritual","Начать Ритуал"
"ui","ui.completeTheRitual","Complete the Ritual","Завершить Ритуал"
"ui","ui.letGoogleSpeak","Let Google Speak Your Name","Пусть Google назовёт ваше имя"
"ui","ui.alreadyInitiated","Already initiated? Enter the Sanctum","Уже посвящены? Войдите в Святилище"
"ui","ui.newToTheCraft","New to the craft? Join the Circle of the Chosen","Впервые здесь? Вступите в Круг Избранных"
"ui","ui.drawThreeCards","Draw three cards to receive your reading.","Вытяните три карты, чтобы получить предсказание."
"ui","ui.spiritsUnclear","The spirits are unclear. Please draw again.","Духи неясны. Пожалуйста, вытяните карты снова."
"ui","ui.language","Language","Язык"
"ui","ui.deck","Deck","Колода"
"ui","ui.chooseDeck","Choose Your Deck","Выберите свою Колоду"
"ui","ui.deckRiderWaite","Rider-Waite","Райдер-Уэйт"
"ui","ui.deckKlimt","Klimt","Климт"
"ui","ui.deckGothicVintage","Gothic Vintage","Готический Винтаж"
"ui","ui.selected","Selected","Выбрано"
"ui","ui.selectDeck","Select","Выбрать"
"ui","ui.signInToSelectDeck","Sign in to choose your deck","Войдите, чтобы выбрать колоду"
"ui","ui.chooseYourReader","Choose Who Reads For You","Выберите, Кто Читает Для Вас"
"ui","ui.readerSelectionSubtitle","Three readers wait in the dark. They will not introduce themselves — you must choose.","Три таролога ждут в темноте. Они не представятся — выбор за вами."
"ui","ui.hoverToLearn","Hover a reader to learn their nature.","Наведите на таролога, чтобы узнать его суть."
"ui","ui.summonReader","Summon {name}","Призвать {name}"
"ui","ui.yourReaderIs","Your Reader","Ваш Таролог"
"ui","ui.changeYourReader","Change Your Reader","Сменить Таролога"
"ui","ui.beginInitiation","Begin Initiation","Начать Посвящение"
"ui","ui.reader","Reader","Таролог"
"ui","ui.chooseReader","Choose Your Reader","Выберите Таролога"
"ui","ui.deleteAccountHeading","The Point of No Return","Точка невозврата"
"ui","ui.deleteAccountTrigger","Break the Pact","Разорвать договор"
"ui","ui.deleteAccountWarning","This will permanently erase your account, reading history, deck and reader preferences, subscription record, and any linked sign-in providers. This action cannot be undone.","Это действие безвозвратно удалит вашу учётную запись, историю раскладов, выбор колоды и таролога, данные о подписке, а также все привязанные способы входа. Отменить это невозможно."
"ui","ui.deleteAccountConfirmLabel","Type DELETE to confirm","Введите DELETE для подтверждения"
"ui","ui.deleteAccountConfirmPlaceholder","DELETE","DELETE"
"ui","ui.deleteAccountButton","Burn the pact forever","Сжечь договор навсегда"
"ui","ui.deleteAccountCancel","Cancel","Отмена"
"ui","ui.deleteAccountSubmitting","Burning the pact...","Сжигаем договор..."
"ui","ui.deleteAccountError","Something went wrong. Please contact privacy@nothingweird.agency","Что-то пошло не так. Пожалуйста, свяжитесь с privacy@nothingweird.agency"
"ui","ui.deleteAccountEmailSubject","[theveil] Account deleted","[theveil] Учётная запись удалена"
"ui","ui.deleteAccountEmailBody","Your account at The Veil has been permanently deleted. This action is irreversible. If you did not request this, contact privacy@nothingweird.agency.","Ваша учётная запись в The Veil удалена навсегда. Это действие необратимо. Если запрос на удаление поступил не от вас, срочно свяжитесь с privacy@nothingweird.agency."
"ui","ui.renewsOn","Renews on {date}","Продление {date}"
"ui","ui.accessUntil","Access until {date}","Доступ до {date}"
"ui","ui.renewal","Renewal","Продление"
"ui","ui.cancelSubscription","Cancel subscription","Отменить подписку"
"ui","ui.resumeSubscription","Resume subscription","Возобновить подписку"
"ui","ui.cancelSubscriptionConfirm","Cancel auto-renew? You'll keep access until the end of your paid period.","Отключить автопродление? Доступ сохранится до конца оплаченного периода."
"ui","ui.notFound.title","The veil is closed here","Завеса здесь закрыта"
"ui","ui.notFound.description","This page has slipped beyond the veil. Return to the circle and try another path.","Эта страница ускользнула за завесу. Вернитесь в круг и попробуйте другой путь."
"ui","ui.notFound.backHome","Back to the sanctum","Назад в святилище"
"cards","cards.arcana-0","The Fool","Шут"
"cards","cards.arcana-1","The Magician","Маг"
"cards","cards.arcana-2","The High Priestess","Верховная Жрица"
"cards","cards.arcana-3","The Empress","Императрица"
"cards","cards.arcana-4","The Emperor","Император"
"cards","cards.arcana-5","The Hierophant","Иерофант"
"cards","cards.arcana-6","The Lovers","Влюблённые"
"cards","cards.arcana-7","The Chariot","Колесница"
"cards","cards.arcana-8","Justice","Справедливость"
"cards","cards.arcana-9","The Hermit","Отшельник"
"cards","cards.arcana-10","Wheel of Fortune","Колесо Фортуны"
"cards","cards.arcana-11","Strength","Сила"
"cards","cards.arcana-12","The Hanged Man","Повешенный"
"cards","cards.arcana-13","Death","Смерть"
"cards","cards.arcana-14","Temperance","Умеренность"
"cards","cards.arcana-15","The Devil","Дьявол"
"cards","cards.arcana-16","The Tower","Башня"
"cards","cards.arcana-17","The Star","Звезда"
"cards","cards.arcana-18","The Moon","Луна"
"cards","cards.arcana-19","The Sun","Солнце"
"cards","cards.arcana-20","Judgement","Суд"
"cards","cards.arcana-21","The World","Мир"
"cards","cards.chalices-1","Ace of Chalices","Туз Кубков"
"cards","cards.chalices-2","Two of Chalices","Двойка Кубков"
"cards","cards.chalices-3","Three of Chalices","Тройка Кубков"
"cards","cards.chalices-4","Four of Chalices","Четвёрка Кубков"
"cards","cards.chalices-5","Five of Chalices","Пятёрка Кубков"
"cards","cards.chalices-6","Six of Chalices","Шестёрка Кубков"
"cards","cards.chalices-7","Seven of Chalices","Семёрка Кубков"
"cards","cards.chalices-8","Eight of Chalices","Восьмёрка Кубков"
"cards","cards.chalices-9","Nine of Chalices","Девятка Кубков"
"cards","cards.chalices-10","Ten of Chalices","Десятка Кубков"
"cards","cards.chalices-page","Page of Chalices","Паж Кубков"
"cards","cards.chalices-knight","Knight of Chalices","Рыцарь Кубков"
"cards","cards.chalices-queen","Queen of Chalices","Королева Кубков"
"cards","cards.chalices-king","King of Chalices","Король Кубков"
"cards","cards.swords-1","Ace of Swords","Туз Мечей"
"cards","cards.swords-2","Two of Swords","Двойка Мечей"
"cards","cards.swords-3","Three of Swords","Тройка Мечей"
"cards","cards.swords-4","Four of Swords","Четвёрка Мечей"
"cards","cards.swords-5","Five of Swords","Пятёрка Мечей"
"cards","cards.swords-6","Six of Swords","Шестёрка Мечей"
"cards","cards.swords-7","Seven of Swords","Семёрка Мечей"
"cards","cards.swords-8","Eight of Swords","Восьмёрка Мечей"
"cards","cards.swords-9","Nine of Swords","Девятка Мечей"
"cards","cards.swords-10","Ten of Swords","Десятка Мечей"
"cards","cards.swords-page","Page of Swords","Паж Мечей"
"cards","cards.swords-knight","Knight of Swords","Рыцарь Мечей"
"cards","cards.swords-queen","Queen of Swords","Королева Мечей"
"cards","cards.swords-king","King of Swords","Король Мечей"
"cards","cards.pentacles-1","Ace of Pentacles","Туз Пентаклей"
"cards","cards.pentacles-2","Two of Pentacles","Двойка Пентаклей"
"cards","cards.pentacles-3","Three of Pentacles","Тройка Пентаклей"
"cards","cards.pentacles-4","Four of Pentacles","Четвёрка Пентаклей"
"cards","cards.pentacles-5","Five of Pentacles","Пятёрка Пентаклей"
"cards","cards.pentacles-6","Six of Pentacles","Шестёрка Пентаклей"
"cards","cards.pentacles-7","Seven of Pentacles","Семёрка Пентаклей"
"cards","cards.pentacles-8","Eight of Pentacles","Восьмёрка Пентаклей"
"cards","cards.pentacles-9","Nine of Pentacles","Девятка Пентаклей"
"cards","cards.pentacles-10","Ten of Pentacles","Десятка Пентаклей"
"cards","cards.pentacles-page","Page of Pentacles","Паж Пентаклей"
"cards","cards.pentacles-knight","Knight of Pentacles","Рыцарь Пентаклей"
"cards","cards.pentacles-queen","Queen of Pentacles","Королева Пентаклей"
"cards","cards.pentacles-king","King of Pentacles","Король Пентаклей"
"cards","cards.wands-1","Ace of Wands","Туз Жезлов"
"cards","cards.wands-2","Two of Wands","Двойка Жезлов"
"cards","cards.wands-3","Three of Wands","Тройка Жезлов"
"cards","cards.wands-4","Four of Wands","Четвёрка Жезлов"
"cards","cards.wands-5","Five of Wands","Пятёрка Жезлов"
"cards","cards.wands-6","Six of Wands","Шестёрка Жезлов"
"cards","cards.wands-7","Seven of Wands","Семёрка Жезлов"
"cards","cards.wands-8","Eight of Wands","Восьмёрка Жезлов"
"cards","cards.wands-9","Nine of Wands","Девятка Жезлов"
"cards","cards.wands-10","Ten of Wands","Десятка Жезлов"
"cards","cards.wands-page","Page of Wands","Паж Жезлов"
"cards","cards.wands-knight","Knight of Wands","Рыцарь Жезлов"
"cards","cards.wands-queen","Queen of Wands","Королева Жезлов"
"cards","cards.wands-king","King of Wands","Король Жезлов"
"readings","readings.arcana-0.keywords","beginnings, innocence, spontaneity, free spirit","начало, невинность, спонтанность, свободный дух"
"readings","readings.arcana-0.meaning","The Fool stands at the edge of a cliff with nothing but trust. New beginnings, a blank page, a step into the unknown. Something is about to start — and it asks you not to overthink it.","Шут стоит на краю обрыва, не имея ничего, кроме доверия. Новое начало, чистая страница, шаг в неизвестность. Что-то вот-вот начнётся — и просит не думать слишком много."
"readings","readings.arcana-0.past","There was a leap — a moment when you chose the unknown over the safe. That decision, reckless or brave, set everything in motion.","Был прыжок — момент, когда неизвестность оказалась выбрана вместо безопасности. Это решение, безрассудное или храброе, запустило всё."
"readings","readings.arcana-0.present","A fresh start is calling. The details aren't clear yet, and that's the point. Stop planning and take the step.","Зовёт новое начало. Детали ещё не ясны, и в этом суть. Хватит планировать — пора сделать шаг."
"readings","readings.arcana-0.future","Something entirely new is coming. You won't be able to prepare for it — and you won't need to. Meet it with open hands.","Впереди что-то совершенно новое. Подготовиться к этому не получится — и не понадобится. Встречай с открытыми руками."
"readings","readings.arcana-1.keywords","manifestation, willpower, skill, resourcefulness","проявление, сила воли, мастерство, находчивость"
"readings","readings.arcana-1.meaning","The Magician has every tool on the table and knows exactly how to use them. This is about focus, skill, and turning intention into action. You have what you need — now use it.","У Мага на столе все инструменты, и каждый знаком до мелочей. Здесь речь о фокусе, мастерстве и превращении намерения в действие. Всё необходимое уже есть — пора применить."
"readings","readings.arcana-1.past","A time when everything clicked — skill met opportunity and something real was created. That ability hasn't gone anywhere.","Время, когда всё сошлось — мастерство встретило возможность, и родилось что-то настоящее. Эта способность никуда не делась."
"readings","readings.arcana-1.present","All the pieces are in front of you. This is not the time for doubt or hesitation — it's the time to act with precision.","Все элементы перед тобой. Сейчас не время для сомнений и колебаний — время действовать точно."
"readings","readings.arcana-1.future","A moment is coming when your skills will be tested and proven. What you've been learning is about to become very useful.","Приближается момент, когда твои навыки будут проверены и доказаны. То, чему ты учишься, скоро станет очень полезным."
"readings","readings.arcana-2.keywords","intuition, mystery, inner knowledge, subconscious","интуиция, тайна, внутреннее знание, подсознание"
