"namespace","key","English (source — do not edit)","Turkish (edit this column)"
"ui","ui.discoverYourFate","Discover Your Fate","Kaderinizi Keşfedin"
"ui","ui.discover","Discover","Keşfedin"
"ui","ui.your","Your","Kendi"
"ui","ui.fate","Fate","Kaderinizi"
"ui","ui.shakeDeck","Shake the Deck","Desteyi Karıştır"
"ui","ui.joinTheCircle","Join the Circle of the Chosen","Seçilmişler Çemberine Katılın"
"ui","ui.loading","Loading...","Yükleniyor..."
"ui","ui.revealYourself","Reveal Yourself","Kendinizi Gösterin"
"ui","ui.welcome","Welcome, {name}","Hoş geldiniz, {name}"
"ui","ui.mysticOne","Mystic One","Mistik"
"ui","ui.unveilDestiny","Unveil Your Destiny, Card by Card...","Kaderinizi kart kart ortaya çıkarın..."
"ui","ui.revokeAndRetry","Revoke and Retry","İptal et ve tekrar dene"
"ui","ui.unveilAnotherFate","Unveil Another Fate","Başka bir kader açığa çıkar"
"ui","ui.backToSanctum","Back to the Sanctum","Tapınağa Dön"
"ui","ui.cardsHaveSpoken","The Cards Have Spoken","Kartlar Konuştu"
"ui","ui.cardsStillSilent","The cards are still silent...","Kartlar hâlâ sessiz..."
"ui","ui.stepThroughTheVeil","Step Through the Veil","Perdenin Ötesine Geçin"
"ui","ui.gateAnonTitle","The Veil Has Closed","Perde Kapandı"
"ui","ui.gateAnonBody","One glimpse is all the spirits grant a wandering soul. To part the veil again, you must first be known to us.","Ruhlar, avare bir ruha yalnızca tek bir bakış bağışlar. Perdeyi yeniden aralamak için önce bize tanınmalısınız."
"ui","ui.gateAnonCta","Step Through the Veil","Perdenin Ötesine Geçin"
"ui","ui.gateFreeTitle","The Spirits Ask for Tribute","Ruhlar Adak İstiyor"
"ui","ui.gateFreeBody","Tonight's fates are spent. Deeper visions are not given freely — offer tribute, and the cards will speak again.","Bu geceki kaderler tükendi. Derin görüler bedelsiz verilmez — bir adak sunun, kartlar yeniden konuşsun."
"ui","ui.gateFreeCta","Offer Tribute","Adak Sunun"
"ui","ui.yourMysticProfile","Your Mystic Profile","Mistik Profiliniz"
"ui","ui.chooseYourPath","Choose Your Path","Yolunuzu Seçin"
"ui","ui.oneReadingAtATime","One reading at a time, or unlimited every day.","Tek seferlik okuma ya da her gün sınırsız."
"ui","ui.mostPopular","Most popular","En popüler"
"ui","ui.currentPlanBtn","Current plan","Mevcut plan"
"ui","ui.includedBtn","Included","Dahil"
"ui","ui.comingSoon","Coming soon","Yakında"
"ui","ui.subscribeBtn","Subscribe","Abone ol"
"ui","ui.buyReadingBtn","Buy a reading","Bir fal al"
"ui","ui.processingBtn","Processing…","İşleniyor…"
"ui","ui.paymentStartFailed","Something went wrong starting your payment. Please try again.","Ödeme başlatılırken bir sorun oluştu. Lütfen tekrar deneyin."
"ui","ui.paymentsLaunchingSoon","Payments launching soon","Ödemeler yakında aktif olacak"
"ui","ui.termsOfService","Terms of Service","Kullanım Koşulları"
"ui","ui.privacyPolicy","Privacy Policy","Gizlilik Politikası"
"ui","ui.cookiePolicy","Cookie Policy","Çerez Politikası"
"ui","ui.refundPolicy","Refund Policy","İade Politikası"
"ui","ui.cookieSettings","Cookie settings","Çerez ayarları"
"ui","ui.contact","Contact","İletişim"
"ui","ui.cookieBannerAriaLabel","Cookie consent","Çerez onayı"
"ui","ui.cookieBannerMessage","We use cookies to keep you signed in and, with your consent, to understand how The Veil is used.","Oturumunuzu açık tutmak için ve onayınızla Perde'nin nasıl kullanıldığını anlamak için çerezler kullanıyoruz."
"ui","ui.cookieBannerLearnMore","Learn more","Daha fazla bilgi"
"ui","ui.cookieBannerAccept","Accept","Kabul et"
"ui","ui.cookieBannerReject","Reject","Reddet"
"ui","ui.initiation","Initiation","İnisiyasyon"
"ui","ui.name","Name","İsim"
"ui","ui.email","Email","E-posta"
"ui","ui.currentPlan","Current plan","Mevcut plan"
"ui","ui.credits","Reading Credits","Okuma Kredileri"
"ui","ui.password","Password","Şifre"
"ui","ui.save","Save","Kaydet"
"ui","ui.saving","Saving...","Kaydediliyor..."
"ui","ui.cancel","Cancel","İptal"
