"namespace","key","English (source — do not edit)","Norwegian (edit this column)"
"ui","ui.discoverYourFate","Discover Your Fate","Oppdag Din Skjebne"
"ui","ui.discover","Discover","Oppdag"
"ui","ui.your","Your","Din"
"ui","ui.fate","Fate","Skjebne"
"ui","ui.shakeDeck","Shake the Deck","Bland Kortene"
"ui","ui.joinTheCircle","Join the Circle of the Chosen","Bli Med i De Utvalgtes Sirkel"
"ui","ui.loading","Loading...","Laster..."
"ui","ui.revealYourself","Reveal Yourself","Avslør Deg Selv"
"ui","ui.welcome","Welcome, {name}","Velkommen, {name}"
"ui","ui.mysticOne","Mystic One","Mystiske Sjel"
"ui","ui.unveilDestiny","Unveil Your Destiny, Card by Card...","Avdekk Din Skjebne, Kort for Kort..."
"ui","ui.revokeAndRetry","Revoke and Retry","Trekk Tilbake og Prøv Igjen"
"ui","ui.unveilAnotherFate","Unveil Another Fate","Avdekk En Annen Skjebne"
"ui","ui.backToSanctum","Back to the Sanctum","Tilbake til Helligdommen"
"ui","ui.cardsHaveSpoken","The Cards Have Spoken","Kortene Har Talt"
"ui","ui.cardsStillSilent","The cards are still silent...","Kortene tier fremdeles..."
"ui","ui.stepThroughTheVeil","Step Through the Veil","Tre Gjennom Sløret"
"ui","ui.gateAnonTitle","The Veil Has Closed","Sløret Har Lukket Seg"
"ui","ui.gateAnonBody","One glimpse is all the spirits grant a wandering soul. To part the veil again, you must first be known to us.","Ett glimt er alt åndene gir en vandrende sjel. For å skille sløret på ny må du først bli kjent for oss."
"ui","ui.gateAnonCta","Step Through the Veil","Tre Gjennom Sløret"
"ui","ui.gateFreeTitle","The Spirits Ask for Tribute","Åndene Ber om en Offergave"
"ui","ui.gateFreeBody","Tonight's fates are spent. Deeper visions are not given freely — offer tribute, and the cards will speak again.","Nattens skjebner er oppbrukt. Dypere syner gis ikke gratis — bring en offergave, så vil kortene tale igjen."
"ui","ui.gateFreeCta","Offer Tribute","Bring en Offergave"
"ui","ui.yourMysticProfile","Your Mystic Profile","Din Mystiske Profil"
"ui","ui.chooseYourPath","Choose Your Path","Velg Din Vei"
"ui","ui.oneReadingAtATime","One reading at a time, or unlimited every day.","Én tolkning om gangen, eller ubegrenset hver dag."
"ui","ui.mostPopular","Most popular","Mest populær"
"ui","ui.currentPlanBtn","Current plan","Nåværende plan"
"ui","ui.includedBtn","Included","Inkludert"
"ui","ui.comingSoon","Coming soon","Kommer snart"
"ui","ui.subscribeBtn","Subscribe","Abonner"
"ui","ui.buyReadingBtn","Buy a reading","Kjøp en spådom"
"ui","ui.processingBtn","Processing…","Behandler…"
"ui","ui.paymentStartFailed","Something went wrong starting your payment. Please try again.","Noe gikk galt da betalingen skulle startes. Prøv igjen."
"ui","ui.paymentsLaunchingSoon","Payments launching soon","Betaling lanseres snart"
"ui","ui.termsOfService","Terms of Service","Vilkår for bruk"
"ui","ui.privacyPolicy","Privacy Policy","Personvernerklæring"
"ui","ui.cookiePolicy","Cookie Policy","Retningslinjer for informasjonskapsler"
"ui","ui.refundPolicy","Refund Policy","Refusjonspolicy"
"ui","ui.cookieSettings","Cookie settings","Informasjonskapsler"
"ui","ui.contact","Contact","Kontakt"
"ui","ui.cookieBannerAriaLabel","Cookie consent","Samtykke til informasjonskapsler"
"ui","ui.cookieBannerMessage","We use cookies to keep you signed in and, with your consent, to understand how The Veil is used.","Vi bruker informasjonskapsler for å holde deg innlogget og, med ditt samtykke, for å forstå hvordan Sløret brukes."
"ui","ui.cookieBannerLearnMore","Learn more","Les mer"
"ui","ui.cookieBannerAccept","Accept","Godta"
"ui","ui.cookieBannerReject","Reject","Avvis"
"ui","ui.initiation","Initiation","Innvielse"
"ui","ui.name","Name","Navn"
"ui","ui.email","Email","E-post"
"ui","ui.currentPlan","Current plan","Nåværende plan"
"ui","ui.credits","Reading Credits","Lesningskreditter"
"ui","ui.password","Password","Passord"
"ui","ui.save","Save","Lagre"
"ui","ui.saving","Saving...","Lagrer..."
"ui","ui.cancel","Cancel","Avbryt"
"ui","ui.changePassword","Change password","Endre passord"
"ui","ui.setPassword","Set password","Sett passord"
"ui","ui.slipIntoShadows","Slip Into the Shadows","Gli Inn i Skyggene"
"ui","ui.currentPasswordPlaceholder","Current password","Nåværende passord"
"ui","ui.newPasswordPlaceholder","New password","Nytt passord"
"ui","ui.confirmPasswordPlaceholder","Confirm new password","Bekreft nytt passord"
"ui","ui.nameCannotBeEmpty","Name cannot be empty","Navn kan ikke være tomt"
"ui","ui.failedToUpdateName","Failed to update name","Kunne ikke oppdatere navn"
"ui","ui.passwordMinLength","Password must be at least 8 characters","Passordet må være minst 8 tegn"
"ui","ui.passwordsDoNotMatch","Passwords do not match","Passordene samsvarer ikke"
